Method,Mean_Conv_95,Std_Conv_95,Mean_Conv_90,Mean_Conv_99,Mean_AUC,Mean_Speed
CheapGreedy,5.83,4.89,2.69,14.86,0.79,-0.01
EpsilonGreedy,6.11,4.41,2.13,18.07,0.78,-0.01
Fixed,3.79,2.36,2.19,12.06,0.77,-0.03
Hagfish-SOTA,3.67,2.31,2.13,12.61,0.79,-0.01
Hyperband,4.14,2.92,1.99,15.96,0.77,-0.01
Optuna,7.96,6.37,3.83,22.03,0.77,0.00
PBT,7.80,4.40,3.96,20.66,0.77,0.02
Random,6.61,3.55,3.41,17.06,0.77,-0.00
SuccessiveHalving,16.07,8.22,4.19,36.53,0.78,-0.01
