"algorithm","instance","seed","final_best_error","total_cost"
"asha","126025","0","-88.35767364501953","6098.968621373177"
"asha","126025","1","-90.57239532470703","8000.279712200165"
"asha","126025","2","-90.53607177734375","5134.889921426773"
"asha","126025","3","-88.56790161132812","4700.882395148277"
"asha","126025","4","-89.56046295166016","5493.405364394188"
"asha","126025","5","-88.12108612060547","5403.5198838710785"
"asha","126025","6","-88.90714263916016","5923.826492905617"
"asha","126025","7","-87.02031707763672","4515.40990281105"
"asha","126025","8","-89.622314453125","4158.113358259201"
"asha","126025","9","-90.07006072998047","3833.966826438904"
"asha","126026","0","-95.43199920654297","4443.288149237633"
"asha","126026","1","-95.54573822021484","4510.81498169899"
"asha","126026","2","-95.38676452636719","4618.260071873665"
"asha","126026","3","-96.11420440673828","3565.043167054653"
"asha","126026","4","-97.52544403076172","3900.7201284766197"
"asha","126026","5","-97.17203521728516","5791.247180223465"
"asha","126026","6","-95.66181945800781","4107.647203922272"
"asha","126026","7","-95.99573516845703","4231.989218115807"
"asha","126026","8","-95.8925552368164","3421.7713807821274"
"asha","126026","9","-96.1482925415039","3755.4670770168304"
"asha","126029","0","-92.1572036743164","2997.8783400058746"
"asha","126029","1","-92.62889862060547","3972.5327200889587"
"asha","126029","2","-92.9150619506836","8302.488275647163"
"asha","126029","3","-91.46045684814453","3642.857409477234"
"asha","126029","4","-92.71715545654297","4895.409527420998"
"asha","126029","5","-92.38990020751953","5993.6153066158295"
"asha","126029","6","-93.03157043457031","5579.0435210466385"
"asha","126029","7","-92.48471069335938","4632.806049823761"
"asha","126029","8","-93.30026245117188","4002.651766896248"
"asha","126029","9","-93.49219512939453","3513.2367494106293"
"asha","146212","0","-93.98876190185547","8031.124152183533"
"asha","146212","1","-94.85216522216797","6975.1668972969055"
"asha","146212","2","-96.14051055908203","8075.8107051849365"
"asha","146212","3","-94.317626953125","6223.009350776672"
"asha","146212","4","-93.31249237060547","7723.356964111328"
"asha","146212","5","-96.26139068603516","9048.523952007294"
"asha","146212","6","-94.38964080810547","7094.375241756439"
"asha","146212","7","-92.71143341064453","6833.243226528168"
"asha","146212","8","-95.78136444091797","9416.17188167572"
"asha","146212","9","-97.05751037597656","8334.434232711792"
"asha","167104","0","-92.6131820678711","4616.53389364481"
"asha","167104","1","-91.8538589477539","3506.5904007852077"
"asha","167104","2","-91.51197052001953","5201.808556616306"
"asha","167104","3","-93.44570922851562","3605.6408897042274"
"asha","167104","4","-90.62306213378906","2873.760605096817"
"asha","167104","5","-93.72208404541016","3988.76307874918"
"asha","167104","6","-93.33984375","4698.150035053492"
"asha","167104","7","-93.1065673828125","3034.4085198640823"
"asha","167104","8","-93.771240234375","3814.000617980957"
"asha","167104","9","-91.6924819946289","4142.1017924547195"
"asha","167149","0","-96.12939453125","2598.9449533224106"
"asha","167149","1","-95.54499816894531","3259.8320108652115"
"asha","167149","2","-96.70950317382812","3786.5302837491035"
"asha","167149","3","-96.58434295654297","1989.2896262407303"
"asha","167149","4","-95.89698791503906","3745.115276157856"
"asha","167149","5","-95.73706817626953","2864.346669867635"
"asha","167149","6","-95.81090545654297","3276.4179824590683"
"asha","167149","7","-96.08235168457031","2684.2325453162193"
"asha","167149","8","-96.6133804321289","2256.4304564893246"
"asha","167149","9","-94.55754089355469","2586.590732753277"
"asha","167152","0","-93.90943908691406","5039.00564968586"
"asha","167152","1","-95.99092102050781","4103.0295033454895"
"asha","167152","2","-92.9605712890625","8561.851590514183"
"asha","167152","3","-96.25804901123047","4634.359225988388"
"asha","167152","4","-95.85892486572266","5848.297337055206"
"asha","167152","5","-93.8291015625","5632.810765743256"
"asha","167152","6","-93.91487121582031","7719.610064983368"
"asha","167152","7","-96.01201629638672","4053.5880036354065"
"asha","167152","8","-95.2570571899414","4889.326415300369"
"asha","167152","9","-93.48281860351562","6253.828576207161"
"asha","167161","0","-84.31514739990234","4145.878560423851"
"asha","167161","1","-85.60017395019531","3307.7784465551376"
"asha","167161","2","-83.25399017333984","4594.353620648384"
"asha","167161","3","-83.01456451416016","3456.8397998809814"
"asha","167161","4","-82.65542602539062","3522.6578818559647"
"asha","167161","5","-85.74565124511719","4096.2241632938385"
"asha","167161","6","-81.30758666992188","4477.8903168439865"
"asha","167161","7","-70.60015106201172","2487.219319820404"
"asha","167161","8","-86.16426086425781","4187.389132618904"
"asha","167161","9","-84.85972595214844","3336.1034702062607"
"asha","167168","0","-74.4188461303711","2722.3800830841064"
"asha","167168","1","-72.99933624267578","2774.1326731443405"
"asha","167168","2","-77.68733978271484","4166.000427484512"
"asha","167168","3","-78.20064544677734","2541.540943980217"
"asha","167168","4","-75.25154876708984","4682.840620756149"
"asha","167168","5","-78.714111328125","2949.35179066658"
"asha","167168","6","-75.02413940429688","4503.185765206814"
"asha","167168","7","-78.23600769042969","2239.24353402853"
"asha","167168","8","-78.9113998413086","2894.8411313295364"
"asha","167168","9","-74.71244049072266","3205.616472363472"
"asha","167181","0","-90.58602142333984","7236.224752902985"
"asha","167181","1","-91.23323822021484","6073.693198561668"
"asha","167181","2","-89.30242156982422","5831.412964940071"
"asha","167181","3","-90.69754028320312","4528.742735862732"
"asha","167181","4","-91.47245025634766","5407.922414958477"
"asha","167181","5","-90.22373962402344","5334.914078712463"
"asha","167181","6","-90.32611083984375","5116.474469542503"
"asha","167181","7","-88.79163360595703","3181.3238883018494"
"asha","167181","8","-90.96306610107422","4683.037157893181"
"asha","167181","9","-90.36653137207031","3128.2722672224045"
"asha","167184","0","-81.90251922607422","4292.740859866142"
"asha","167184","1","-82.19461059570312","3216.7366775274277"
"asha","167184","2","-80.39057922363281","4472.848955273628"
"asha","167184","3","-80.9338607788086","2402.786369085312"
"asha","167184","4","-81.49272918701172","5094.694471001625"
"asha","167184","5","-82.71192932128906","3969.9864819049835"
"asha","167184","6","-81.71898651123047","3814.143270254135"
"asha","167184","7","-80.20698547363281","3553.7096798419952"
"asha","167184","8","-82.45716857910156","3917.6701135635376"
