algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,168331,9,1,1,1.0,-5.536671161651611,3.4500622749328613,3.4500622749328613,-5.536671161651611,"{""OpenML_task_id"": ""168331"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,168331,9,1,2,3.0,-29.10420799255371,12.999396324157715,16.449458599090576,-29.10420799255371,"{""OpenML_task_id"": ""168331"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,168331,9,1,3,9.0,-35.33574676513672,32.752071380615234,49.20152997970581,-35.33574676513672,"{""OpenML_task_id"": ""168331"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,168331,9,1,4,27.0,-38.970008850097656,78.6287612915039,127.83029127120972,-38.970008850097656,"{""OpenML_task_id"": ""168331"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,168331,9,1,5,52.0,-39.32455062866211,153.7209930419922,281.5512843132019,-39.32455062866211,"{""OpenML_task_id"": ""168331"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,168331,9,2,1,1.0,-5.279939651489258,8.65283203125,290.2041163444519,-39.32455062866211,"{""OpenML_task_id"": ""168331"", ""batch_size"": 38, ""learning_rate"": 0.00017872238588396852, ""max_dropout"": 0.3454986400504001, ""max_units"": 102, ""momentum"": 0.8819175861240666, ""num_layers"": 4, ""weight_decay"": 0.0038844500994736596}"
asha,lcbench,168331,9,3,1,1.0,-9.047649383544922,8.114566802978516,298.3186831474304,-39.32455062866211,"{""OpenML_task_id"": ""168331"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
asha,lcbench,168331,9,3,2,3.0,-37.32194900512695,20.473758697509766,318.7924418449402,-39.32455062866211,"{""OpenML_task_id"": ""168331"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
asha,lcbench,168331,9,3,3,9.0,-39.247711181640625,49.163597106933594,367.9560389518738,-39.32455062866211,"{""OpenML_task_id"": ""168331"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
asha,lcbench,168331,9,3,4,27.0,-40.07026290893555,109.65433502197266,477.61037397384644,-40.07026290893555,"{""OpenML_task_id"": ""168331"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
