algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,168910,7,1,1,1.0,-12.327180862426758,16.142532348632812,16.142532348632812,-12.327180862426758,"{""OpenML_task_id"": ""168910"", ""batch_size"": 21, ""learning_rate"": 0.021865347140571728, ""max_dropout"": 0.4384092314408935, ""max_units"": 476, ""momentum"": 0.9704106656769763, ""num_layers"": 1, ""weight_decay"": 0.008683475549700795}"
asha,lcbench,168910,7,1,2,3.0,-63.437339782714844,17.983234405517578,34.12576675415039,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 21, ""learning_rate"": 0.021865347140571728, ""max_dropout"": 0.4384092314408935, ""max_units"": 476, ""momentum"": 0.9704106656769763, ""num_layers"": 1, ""weight_decay"": 0.008683475549700795}"
asha,lcbench,168910,7,1,3,9.0,-57.21650695800781,48.552818298339844,82.67858505249023,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 21, ""learning_rate"": 0.021865347140571728, ""max_dropout"": 0.4384092314408935, ""max_units"": 476, ""momentum"": 0.9704106656769763, ""num_layers"": 1, ""weight_decay"": 0.008683475549700795}"
asha,lcbench,168910,7,1,4,27.0,-56.397850036621094,105.03864288330078,187.71722793579102,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 21, ""learning_rate"": 0.021865347140571728, ""max_dropout"": 0.4384092314408935, ""max_units"": 476, ""momentum"": 0.9704106656769763, ""num_layers"": 1, ""weight_decay"": 0.008683475549700795}"
asha,lcbench,168910,7,1,5,52.0,-61.53062057495117,129.90762329101562,317.62485122680664,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 21, ""learning_rate"": 0.021865347140571728, ""max_dropout"": 0.4384092314408935, ""max_units"": 476, ""momentum"": 0.9704106656769763, ""num_layers"": 1, ""weight_decay"": 0.008683475549700795}"
asha,lcbench,168910,7,2,1,1.0,-13.517516136169434,5.195939540863037,322.8207907676697,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 68, ""learning_rate"": 0.00011161718950501575, ""max_dropout"": 0.5277647948207705, ""max_units"": 712, ""momentum"": 0.3944469319212258, ""num_layers"": 1, ""weight_decay"": 0.006602975327121452}"
asha,lcbench,168910,7,2,2,3.0,-13.970696449279785,19.744449615478516,342.5652403831482,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 68, ""learning_rate"": 0.00011161718950501575, ""max_dropout"": 0.5277647948207705, ""max_units"": 712, ""momentum"": 0.3944469319212258, ""num_layers"": 1, ""weight_decay"": 0.006602975327121452}"
asha,lcbench,168910,7,3,1,1.0,-12.361388206481934,19.685882568359375,362.25112295150757,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 43, ""learning_rate"": 0.05355260275097328, ""max_dropout"": 0.2133853535799155, ""max_units"": 224, ""momentum"": 0.9287733575232293, ""num_layers"": 1, ""weight_decay"": 0.06005888625723762}"
asha,lcbench,168910,7,3,2,3.0,-59.03494644165039,26.06279754638672,388.3139204978943,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 43, ""learning_rate"": 0.05355260275097328, ""max_dropout"": 0.2133853535799155, ""max_units"": 224, ""momentum"": 0.9287733575232293, ""num_layers"": 1, ""weight_decay"": 0.06005888625723762}"
asha,lcbench,168910,7,3,3,9.0,-56.615028381347656,56.458072662353516,444.7719931602478,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 43, ""learning_rate"": 0.05355260275097328, ""max_dropout"": 0.2133853535799155, ""max_units"": 224, ""momentum"": 0.9287733575232293, ""num_layers"": 1, ""weight_decay"": 0.06005888625723762}"
asha,lcbench,168910,7,4,1,1.0,-17.798316955566406,16.951324462890625,461.7233176231384,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 431, ""learning_rate"": 0.0004908046142647318, ""max_dropout"": 0.5484899192360304, ""max_units"": 796, ""momentum"": 0.21852080672573265, ""num_layers"": 4, ""weight_decay"": 0.038471110048990564}"
asha,lcbench,168910,7,4,2,3.0,-18.475332260131836,58.34618377685547,520.0695013999939,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 431, ""learning_rate"": 0.0004908046142647318, ""max_dropout"": 0.5484899192360304, ""max_units"": 796, ""momentum"": 0.21852080672573265, ""num_layers"": 4, ""weight_decay"": 0.038471110048990564}"
asha,lcbench,168910,7,5,1,1.0,-27.084678649902344,12.894811630249023,532.9643130302429,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 55, ""learning_rate"": 0.0003802479402135692, ""max_dropout"": 0.100473971701034, ""max_units"": 244, ""momentum"": 0.6461960880564329, ""num_layers"": 5, ""weight_decay"": 0.047745341473610335}"
asha,lcbench,168910,7,5,2,3.0,-28.391929626464844,44.83237075805664,577.7966837882996,-63.437339782714844,"{""OpenML_task_id"": ""168910"", ""batch_size"": 55, ""learning_rate"": 0.0003802479402135692, ""max_dropout"": 0.100473971701034, ""max_units"": 244, ""momentum"": 0.6461960880564329, ""num_layers"": 5, ""weight_decay"": 0.047745341473610335}"
