metric,comparison,n_pairs,wilcoxon_statistic,p_value,median_hat_minus_baseline,rank_biserial_hat_minus_baseline,holm_p_value,significant_0_05
final_best_error,HAT vs DEHB_STYLE,340,2729.0,1.7219176544162796e-47,2.707035064697269,0.9058478523374159,3.443835308832559e-47,True
final_best_error,HAT vs ASHA,340,13962.0,1.2041054785893636e-16,-0.9513816833496023,-0.5183025702949802,1.2041054785893636e-16,True
total_cost,HAT vs DEHB_STYLE,340,9293.0,1.8495050817561054e-27,-21999.971130371086,-0.679385889253062,1.8495050817561054e-27,True
total_cost,HAT vs ASHA,340,0.0,1.7490812062058477e-57,52401.859258532524,1.0,3.4981624124116954e-57,True
