variant,mean_final_best_error,std_final_best_error,mean_total_cost,std_total_cost,mean_runtime_seconds,mean_objective_evaluations,mean_max_fidelity,mean_burst_events,n_runs
Full HAT,-75.80085975646972,25.328081960726223,62953.3081841886,70102.1996206635,0.1002406760212034,237.44,24.563333333333336,44.56,25
No memory,-76.11683540344238,25.357558163346784,69701.76237579703,82179.77915988881,0.10704368401318788,239.16,25.236,44.96,25
No elite attraction,-75.04683181762695,25.713593154935495,26019.20977030635,26455.11099774519,0.09413772800005972,209.08,11.388666666666666,44.2,25
No burst exploration,-70.15263618469238,27.54195644539371,3958.613058055639,3210.6346128973228,0.058000944014638664,120.0,2.8,0.0,25
No cost awareness,-75.80085975646972,25.328081960726223,62953.3081841886,70102.1996206635,0.09730745999142527,237.44,24.563333333333336,44.56,25
