algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,189866,3,1,1,1.0,-50.658485412597656,7.02687931060791,7.02687931060791,-50.658485412597656,"{""OpenML_task_id"": ""189866"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
asha,lcbench,189866,3,1,2,3.0,-65.0300064086914,26.428150177001953,33.45502948760986,-65.0300064086914,"{""OpenML_task_id"": ""189866"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
asha,lcbench,189866,3,1,3,9.0,-65.22916412353516,123.76498413085938,157.22001361846924,-65.22916412353516,"{""OpenML_task_id"": ""189866"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
asha,lcbench,189866,3,1,4,27.0,-66.85641479492188,382.2886962890625,539.5087099075317,-66.85641479492188,"{""OpenML_task_id"": ""189866"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
asha,lcbench,189866,3,1,5,52.0,-69.17913055419922,650.1734008789062,1189.682110786438,-69.17913055419922,"{""OpenML_task_id"": ""189866"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
asha,lcbench,189866,3,2,1,1.0,-48.98543930053711,10.69852066040039,1200.3806314468384,-69.17913055419922,"{""OpenML_task_id"": ""189866"", ""batch_size"": 18, ""learning_rate"": 0.000554197920268787, ""max_dropout"": 0.09355149746544533, ""max_units"": 439, ""momentum"": 0.22937942822710844, ""num_layers"": 1, ""weight_decay"": 0.02156554507140773}"
asha,lcbench,189866,3,3,1,1.0,-52.40993881225586,7.740848064422607,1208.121479511261,-69.17913055419922,"{""OpenML_task_id"": ""189866"", ""batch_size"": 55, ""learning_rate"": 0.0030054380132902175, ""max_dropout"": 0.9133014457224449, ""max_units"": 535, ""momentum"": 0.966546957572808, ""num_layers"": 1, ""weight_decay"": 0.04151596868903687}"
asha,lcbench,189866,3,3,2,3.0,-60.50718307495117,37.32314682006836,1245.4446263313293,-69.17913055419922,"{""OpenML_task_id"": ""189866"", ""batch_size"": 55, ""learning_rate"": 0.0030054380132902175, ""max_dropout"": 0.9133014457224449, ""max_units"": 535, ""momentum"": 0.966546957572808, ""num_layers"": 1, ""weight_decay"": 0.04151596868903687}"
asha,lcbench,189866,3,4,1,1.0,-50.13344192504883,8.219151496887207,1253.6637778282166,-69.17913055419922,"{""OpenML_task_id"": ""189866"", ""batch_size"": 43, ""learning_rate"": 0.012006426178129779, ""max_dropout"": 0.4404537176707395, ""max_units"": 99, ""momentum"": 0.5847376260483418, ""num_layers"": 1, ""weight_decay"": 0.030643289602294215}"
asha,lcbench,189866,3,5,1,1.0,-53.18959426879883,7.814754962921143,1261.4785327911377,-69.17913055419922,"{""OpenML_task_id"": ""189866"", ""batch_size"": 35, ""learning_rate"": 0.0014585246476239138, ""max_dropout"": 0.9363836498604304, ""max_units"": 958, ""momentum"": 0.6984214715624042, ""num_layers"": 1, ""weight_decay"": 0.08089483108711712}"
