algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,189862,4,1,1,1.0,-49.7244873046875,7.969541549682617,7.969541549682617,-49.7244873046875,"{""OpenML_task_id"": ""189862"", ""batch_size"": 457, ""learning_rate"": 0.004382245941855638, ""max_dropout"": 0.9726843599648843, ""max_units"": 464, ""momentum"": 0.720978653891571, ""num_layers"": 3, ""weight_decay"": 0.014155002719966187}"
asha,lcbench,189862,4,1,2,3.0,-55.14314270019531,25.722545623779297,33.692087173461914,-55.14314270019531,"{""OpenML_task_id"": ""189862"", ""batch_size"": 457, ""learning_rate"": 0.004382245941855638, ""max_dropout"": 0.9726843599648843, ""max_units"": 464, ""momentum"": 0.720978653891571, ""num_layers"": 3, ""weight_decay"": 0.014155002719966187}"
asha,lcbench,189862,4,1,3,9.0,-66.68733215332031,60.06975173950195,93.76183891296387,-66.68733215332031,"{""OpenML_task_id"": ""189862"", ""batch_size"": 457, ""learning_rate"": 0.004382245941855638, ""max_dropout"": 0.9726843599648843, ""max_units"": 464, ""momentum"": 0.720978653891571, ""num_layers"": 3, ""weight_decay"": 0.014155002719966187}"
asha,lcbench,189862,4,1,4,27.0,-73.62725067138672,99.10237884521484,192.8642177581787,-73.62725067138672,"{""OpenML_task_id"": ""189862"", ""batch_size"": 457, ""learning_rate"": 0.004382245941855638, ""max_dropout"": 0.9726843599648843, ""max_units"": 464, ""momentum"": 0.720978653891571, ""num_layers"": 3, ""weight_decay"": 0.014155002719966187}"
asha,lcbench,189862,4,1,5,52.0,-74.96180725097656,179.2105255126953,372.074743270874,-74.96180725097656,"{""OpenML_task_id"": ""189862"", ""batch_size"": 457, ""learning_rate"": 0.004382245941855638, ""max_dropout"": 0.9726843599648843, ""max_units"": 464, ""momentum"": 0.720978653891571, ""num_layers"": 3, ""weight_decay"": 0.014155002719966187}"
asha,lcbench,189862,4,2,1,1.0,-48.63808822631836,4.76644229888916,376.8411855697632,-74.96180725097656,"{""OpenML_task_id"": ""189862"", ""batch_size"": 35, ""learning_rate"": 0.012452619203268595, ""max_dropout"": 0.9031785237401092, ""max_units"": 370, ""momentum"": 0.10459164221539875, ""num_layers"": 3, ""weight_decay"": 0.03615601944506343}"
asha,lcbench,189862,4,3,1,1.0,-40.0062370300293,3.049849271774292,379.8910348415375,-74.96180725097656,"{""OpenML_task_id"": ""189862"", ""batch_size"": 130, ""learning_rate"": 0.0014972646975855565, ""max_dropout"": 0.8119477481319464, ""max_units"": 350, ""momentum"": 0.3371616623498682, ""num_layers"": 1, ""weight_decay"": 0.0019122841775286266}"
asha,lcbench,189862,4,4,1,1.0,-56.90454864501953,2.2787070274353027,382.1697418689728,-74.96180725097656,"{""OpenML_task_id"": ""189862"", ""batch_size"": 18, ""learning_rate"": 0.06839298419711455, ""max_dropout"": 0.4463491974261806, ""max_units"": 218, ""momentum"": 0.1584814934779779, ""num_layers"": 5, ""weight_decay"": 0.08658961715139957}"
asha,lcbench,189862,4,4,2,3.0,-72.27098083496094,4.73994779586792,386.9096896648407,-74.96180725097656,"{""OpenML_task_id"": ""189862"", ""batch_size"": 18, ""learning_rate"": 0.06839298419711455, ""max_dropout"": 0.4463491974261806, ""max_units"": 218, ""momentum"": 0.1584814934779779, ""num_layers"": 5, ""weight_decay"": 0.08658961715139957}"
asha,lcbench,189862,4,4,3,9.0,-80.26741790771484,13.006369590759277,399.9160592556,-80.26741790771484,"{""OpenML_task_id"": ""189862"", ""batch_size"": 18, ""learning_rate"": 0.06839298419711455, ""max_dropout"": 0.4463491974261806, ""max_units"": 218, ""momentum"": 0.1584814934779779, ""num_layers"": 5, ""weight_decay"": 0.08658961715139957}"
