algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,189905,9,1,1,1.0,-17.043439865112305,1.0920125246047974,1.0920125246047974,-17.043439865112305,"{""OpenML_task_id"": ""189905"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,189905,9,1,2,3.0,-24.463537216186523,2.5352895259857178,3.627302050590515,-24.463537216186523,"{""OpenML_task_id"": ""189905"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,189905,9,1,3,9.0,-40.37240982055664,5.841579437255859,9.468881487846375,-40.37240982055664,"{""OpenML_task_id"": ""189905"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,189905,9,1,4,27.0,-59.68483352661133,14.273942947387695,23.74282443523407,-59.68483352661133,"{""OpenML_task_id"": ""189905"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,189905,9,1,5,52.0,-67.0945816040039,26.857646942138672,50.60047137737274,-67.0945816040039,"{""OpenML_task_id"": ""189905"", ""batch_size"": 17, ""learning_rate"": 0.0032034929786131463, ""max_dropout"": 0.4957732931341461, ""max_units"": 93, ""momentum"": 0.22647886605453932, ""num_layers"": 5, ""weight_decay"": 0.04185663296924015}"
asha,lcbench,189905,9,2,1,1.0,-12.612553596496582,4.4066691398620605,55.0071405172348,-67.0945816040039,"{""OpenML_task_id"": ""189905"", ""batch_size"": 38, ""learning_rate"": 0.00017872238588396852, ""max_dropout"": 0.3454986400504001, ""max_units"": 102, ""momentum"": 0.8819175861240666, ""num_layers"": 4, ""weight_decay"": 0.0038844500994736596}"
asha,lcbench,189905,9,3,1,1.0,-23.73948860168457,3.5741701126098633,58.581310629844666,-67.0945816040039,"{""OpenML_task_id"": ""189905"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
asha,lcbench,189905,9,3,2,3.0,-45.29594421386719,6.565309524536133,65.1466201543808,-67.0945816040039,"{""OpenML_task_id"": ""189905"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
asha,lcbench,189905,9,3,3,9.0,-68.25602722167969,10.842150688171387,75.98877084255219,-68.25602722167969,"{""OpenML_task_id"": ""189905"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
asha,lcbench,189905,9,3,4,27.0,-74.62713623046875,20.73870849609375,96.72747933864594,-74.62713623046875,"{""OpenML_task_id"": ""189905"", ""batch_size"": 180, ""learning_rate"": 0.005227324329017692, ""max_dropout"": 0.8980071182251496, ""max_units"": 407, ""momentum"": 0.5875756269113686, ""num_layers"": 2, ""weight_decay"": 0.09433125727499911}"
