algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,3945,6,1,1,1.0,-34.03230285644531,4.98397970199585,4.98397970199585,-34.03230285644531,"{""OpenML_task_id"": ""3945"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
asha,lcbench,3945,6,1,2,3.0,-45.383270263671875,21.01202392578125,25.9960036277771,-45.383270263671875,"{""OpenML_task_id"": ""3945"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
asha,lcbench,3945,6,1,3,9.0,-58.81389617919922,47.453975677490234,73.44997930526733,-58.81389617919922,"{""OpenML_task_id"": ""3945"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
asha,lcbench,3945,6,1,4,27.0,-67.08744049072266,83.86360168457031,157.31358098983765,-67.08744049072266,"{""OpenML_task_id"": ""3945"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
asha,lcbench,3945,6,1,5,52.0,-68.44889068603516,145.9272918701172,303.24087285995483,-68.44889068603516,"{""OpenML_task_id"": ""3945"", ""batch_size"": 353, ""learning_rate"": 0.0009906937334398737, ""max_dropout"": 0.8212291230578318, ""max_units"": 72, ""momentum"": 0.1958144451430115, ""num_layers"": 2, ""weight_decay"": 0.009956174504879397}"
asha,lcbench,3945,6,2,1,1.0,-40.68091583251953,15.823199272155762,319.0640721321106,-68.44889068603516,"{""OpenML_task_id"": ""3945"", ""batch_size"": 132, ""learning_rate"": 0.0039011207398969303, ""max_dropout"": 0.4828327121028261, ""max_units"": 631, ""momentum"": 0.771961545235925, ""num_layers"": 3, ""weight_decay"": 0.05180846083580689}"
asha,lcbench,3945,6,2,2,3.0,-80.89386749267578,37.96599578857422,357.0300679206848,-80.89386749267578,"{""OpenML_task_id"": ""3945"", ""batch_size"": 132, ""learning_rate"": 0.0039011207398969303, ""max_dropout"": 0.4828327121028261, ""max_units"": 631, ""momentum"": 0.771961545235925, ""num_layers"": 3, ""weight_decay"": 0.05180846083580689}"
asha,lcbench,3945,6,2,3,9.0,-85.67420196533203,85.62482452392578,442.6548924446106,-85.67420196533203,"{""OpenML_task_id"": ""3945"", ""batch_size"": 132, ""learning_rate"": 0.0039011207398969303, ""max_dropout"": 0.4828327121028261, ""max_units"": 631, ""momentum"": 0.771961545235925, ""num_layers"": 3, ""weight_decay"": 0.05180846083580689}"
asha,lcbench,3945,6,2,4,27.0,-88.00251007080078,152.44923400878906,595.1041264533997,-88.00251007080078,"{""OpenML_task_id"": ""3945"", ""batch_size"": 132, ""learning_rate"": 0.0039011207398969303, ""max_dropout"": 0.4828327121028261, ""max_units"": 631, ""momentum"": 0.771961545235925, ""num_layers"": 3, ""weight_decay"": 0.05180846083580689}"
asha,lcbench,3945,6,2,5,52.0,-89.23664855957031,262.5524597167969,857.6565861701965,-89.23664855957031,"{""OpenML_task_id"": ""3945"", ""batch_size"": 132, ""learning_rate"": 0.0039011207398969303, ""max_dropout"": 0.4828327121028261, ""max_units"": 631, ""momentum"": 0.771961545235925, ""num_layers"": 3, ""weight_decay"": 0.05180846083580689}"
