algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,3945,2,1,1,1.0,-37.62339401245117,8.822957038879395,8.822957038879395,-37.62339401245117,"{""OpenML_task_id"": ""3945"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,3945,2,1,2,3.0,-65.60083770751953,26.65544891357422,35.47840595245361,-65.60083770751953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,3945,2,1,3,9.0,-82.44093322753906,68.17301940917969,103.6514253616333,-82.44093322753906,"{""OpenML_task_id"": ""3945"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,3945,2,1,4,27.0,-86.90991973876953,136.0990753173828,239.7505006790161,-86.90991973876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,3945,2,1,5,52.0,-88.57746887207031,228.3014678955078,468.0519685745239,-88.57746887207031,"{""OpenML_task_id"": ""3945"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,3945,2,2,1,1.0,-45.783451080322266,9.355645179748535,477.40761375427246,-88.57746887207031,"{""OpenML_task_id"": ""3945"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,3945,2,2,2,3.0,-56.85200119018555,24.878890991210938,502.2865047454834,-88.57746887207031,"{""OpenML_task_id"": ""3945"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,3945,2,3,1,1.0,-43.940345764160156,15.064607620239258,517.3511123657227,-88.57746887207031,"{""OpenML_task_id"": ""3945"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
asha,lcbench,3945,2,3,2,3.0,-85.06172180175781,25.128501892089844,542.4796142578125,-88.57746887207031,"{""OpenML_task_id"": ""3945"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
asha,lcbench,3945,2,3,3,9.0,-89.79082489013672,50.27080535888672,592.7504196166992,-89.79082489013672,"{""OpenML_task_id"": ""3945"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
asha,lcbench,3945,2,3,4,27.0,-91.45304870605469,100.71996307373047,693.4703826904297,-91.45304870605469,"{""OpenML_task_id"": ""3945"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
asha,lcbench,3945,2,3,5,52.0,-92.30799865722656,188.0528564453125,881.5232391357422,-92.30799865722656,"{""OpenML_task_id"": ""3945"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
asha,lcbench,3945,2,4,1,1.0,-77.1922836303711,2.73469877243042,884.2579379081726,-92.30799865722656,"{""OpenML_task_id"": ""3945"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,3945,2,4,2,3.0,-82.14131164550781,9.760041236877441,894.01797914505,-92.30799865722656,"{""OpenML_task_id"": ""3945"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,3945,2,4,3,9.0,-90.01622772216797,26.092079162597656,920.1100583076477,-92.30799865722656,"{""OpenML_task_id"": ""3945"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,3945,2,4,4,27.0,-94.35071563720703,72.99649810791016,993.1065564155579,-94.35071563720703,"{""OpenML_task_id"": ""3945"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,3945,2,4,5,52.0,-95.88257598876953,165.2198028564453,1158.3263592720032,-95.88257598876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,3945,2,5,1,1.0,-41.05159378051758,15.369997024536133,1173.6963562965393,-95.88257598876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 23, ""learning_rate"": 0.00045805604740430843, ""max_dropout"": 0.34982628500329926, ""max_units"": 234, ""momentum"": 0.27955147137581915, ""num_layers"": 3, ""weight_decay"": 0.06543007555888707}"
asha,lcbench,3945,2,6,1,1.0,-32.76093292236328,7.793838024139404,1181.4901943206787,-95.88257598876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 19, ""learning_rate"": 0.00011343682047552326, ""max_dropout"": 0.9974953239362777, ""max_units"": 433, ""momentum"": 0.7664800784068778, ""num_layers"": 2, ""weight_decay"": 0.020135732225526008}"
asha,lcbench,3945,2,7,1,1.0,-80.39927673339844,3.9534661769866943,1185.4436604976654,-95.88257598876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 105, ""learning_rate"": 0.0007726269827948772, ""max_dropout"": 0.3662927549825533, ""max_units"": 76, ""momentum"": 0.15083542804014427, ""num_layers"": 5, ""weight_decay"": 0.09211208746424807}"
asha,lcbench,3945,2,7,2,3.0,-89.71293640136719,12.663329124450684,1198.106989622116,-95.88257598876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 105, ""learning_rate"": 0.0007726269827948772, ""max_dropout"": 0.3662927549825533, ""max_units"": 76, ""momentum"": 0.15083542804014427, ""num_layers"": 5, ""weight_decay"": 0.09211208746424807}"
asha,lcbench,3945,2,7,3,9.0,-95.57962799072266,33.065826416015625,1231.1728160381317,-95.88257598876953,"{""OpenML_task_id"": ""3945"", ""batch_size"": 105, ""learning_rate"": 0.0007726269827948772, ""max_dropout"": 0.3662927549825533, ""max_units"": 76, ""momentum"": 0.15083542804014427, ""num_layers"": 5, ""weight_decay"": 0.09211208746424807}"
asha,lcbench,3945,2,7,4,27.0,-96.99767303466797,99.12190246582031,1330.294718503952,-96.99767303466797,"{""OpenML_task_id"": ""3945"", ""batch_size"": 105, ""learning_rate"": 0.0007726269827948772, ""max_dropout"": 0.3662927549825533, ""max_units"": 76, ""momentum"": 0.15083542804014427, ""num_layers"": 5, ""weight_decay"": 0.09211208746424807}"
asha,lcbench,3945,2,7,5,52.0,-97.53597259521484,210.01577758789062,1540.3104960918427,-97.53597259521484,"{""OpenML_task_id"": ""3945"", ""batch_size"": 105, ""learning_rate"": 0.0007726269827948772, ""max_dropout"": 0.3662927549825533, ""max_units"": 76, ""momentum"": 0.15083542804014427, ""num_layers"": 5, ""weight_decay"": 0.09211208746424807}"
asha,lcbench,3945,2,8,1,1.0,-75.06111907958984,7.474504470825195,1547.7850005626678,-97.53597259521484,"{""OpenML_task_id"": ""3945"", ""batch_size"": 27, ""learning_rate"": 0.00018228860741569417, ""max_dropout"": 0.9152026487479483, ""max_units"": 153, ""momentum"": 0.8048078640147629, ""num_layers"": 5, ""weight_decay"": 0.04939585821183834}"
asha,lcbench,3945,2,8,2,3.0,-95.92249298095703,19.90899658203125,1567.693997144699,-97.53597259521484,"{""OpenML_task_id"": ""3945"", ""batch_size"": 27, ""learning_rate"": 0.00018228860741569417, ""max_dropout"": 0.9152026487479483, ""max_units"": 153, ""momentum"": 0.8048078640147629, ""num_layers"": 5, ""weight_decay"": 0.04939585821183834}"
asha,lcbench,3945,2,8,3,9.0,-97.94503021240234,41.69899368286133,1609.3929908275604,-97.94503021240234,"{""OpenML_task_id"": ""3945"", ""batch_size"": 27, ""learning_rate"": 0.00018228860741569417, ""max_dropout"": 0.9152026487479483, ""max_units"": 153, ""momentum"": 0.8048078640147629, ""num_layers"": 5, ""weight_decay"": 0.04939585821183834}"
asha,lcbench,3945,2,8,4,27.0,-98.25880432128906,96.45288848876953,1705.84587931633,-98.25880432128906,"{""OpenML_task_id"": ""3945"", ""batch_size"": 27, ""learning_rate"": 0.00018228860741569417, ""max_dropout"": 0.9152026487479483, ""max_units"": 153, ""momentum"": 0.8048078640147629, ""num_layers"": 5, ""weight_decay"": 0.04939585821183834}"
asha,lcbench,3945,2,8,5,52.0,-98.38838195800781,167.38262939453125,1873.2285087108612,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 27, ""learning_rate"": 0.00018228860741569417, ""max_dropout"": 0.9152026487479483, ""max_units"": 153, ""momentum"": 0.8048078640147629, ""num_layers"": 5, ""weight_decay"": 0.04939585821183834}"
asha,lcbench,3945,2,9,1,1.0,-67.30805206298828,7.629290580749512,1880.8577992916107,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 85, ""learning_rate"": 0.0016994504985326437, ""max_dropout"": 0.11207603263139765, ""max_units"": 288, ""momentum"": 0.1904768127333104, ""num_layers"": 5, ""weight_decay"": 0.002426281795590344}"
asha,lcbench,3945,2,9,2,3.0,-88.15882873535156,22.063453674316406,1902.9212529659271,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 85, ""learning_rate"": 0.0016994504985326437, ""max_dropout"": 0.11207603263139765, ""max_units"": 288, ""momentum"": 0.1904768127333104, ""num_layers"": 5, ""weight_decay"": 0.002426281795590344}"
asha,lcbench,3945,2,9,3,9.0,-94.39874267578125,44.86723327636719,1947.7884862422943,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 85, ""learning_rate"": 0.0016994504985326437, ""max_dropout"": 0.11207603263139765, ""max_units"": 288, ""momentum"": 0.1904768127333104, ""num_layers"": 5, ""weight_decay"": 0.002426281795590344}"
asha,lcbench,3945,2,9,4,27.0,-95.98980712890625,99.05078125,2046.8392674922943,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 85, ""learning_rate"": 0.0016994504985326437, ""max_dropout"": 0.11207603263139765, ""max_units"": 288, ""momentum"": 0.1904768127333104, ""num_layers"": 5, ""weight_decay"": 0.002426281795590344}"
asha,lcbench,3945,2,9,5,52.0,-96.79452514648438,189.92562866210938,2236.7648961544037,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 85, ""learning_rate"": 0.0016994504985326437, ""max_dropout"": 0.11207603263139765, ""max_units"": 288, ""momentum"": 0.1904768127333104, ""num_layers"": 5, ""weight_decay"": 0.002426281795590344}"
asha,lcbench,3945,2,10,1,1.0,-37.537078857421875,15.289117813110352,2252.054013967514,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 359, ""learning_rate"": 0.004502492248200867, ""max_dropout"": 0.7668396289080394, ""max_units"": 73, ""momentum"": 0.6900368709085187, ""num_layers"": 3, ""weight_decay"": 0.0009568416022981323}"
asha,lcbench,3945,2,11,1,1.0,-77.28181457519531,3.9618330001831055,2256.015846967697,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 218, ""learning_rate"": 0.0001456316615015919, ""max_dropout"": 0.6182444709988836, ""max_units"": 84, ""momentum"": 0.5980565178103402, ""num_layers"": 5, ""weight_decay"": 0.05927240426431416}"
asha,lcbench,3945,2,11,2,3.0,-77.77098846435547,10.818445205688477,2266.8342921733856,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 218, ""learning_rate"": 0.0001456316615015919, ""max_dropout"": 0.6182444709988836, ""max_units"": 84, ""momentum"": 0.5980565178103402, ""num_layers"": 5, ""weight_decay"": 0.05927240426431416}"
asha,lcbench,3945,2,12,1,1.0,-48.76815414428711,7.686463832855225,2274.520756006241,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 19, ""learning_rate"": 0.001304876362451176, ""max_dropout"": 0.20657396830803487, ""max_units"": 233, ""momentum"": 0.3658723812368917, ""num_layers"": 1, ""weight_decay"": 0.03872052635472452}"
asha,lcbench,3945,2,13,1,1.0,-48.49495315551758,11.528230667114258,2286.048986673355,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 254, ""learning_rate"": 0.04063038265855213, ""max_dropout"": 0.8280849692365755, ""max_units"": 325, ""momentum"": 0.37707190453021155, ""num_layers"": 1, ""weight_decay"": 0.03435316411455138}"
asha,lcbench,3945,2,14,1,1.0,-49.58391189575195,10.232767105102539,2296.2817537784576,-98.38838195800781,"{""OpenML_task_id"": ""3945"", ""batch_size"": 303, ""learning_rate"": 0.050181437927378336, ""max_dropout"": 0.050744066184034375, ""max_units"": 74, ""momentum"": 0.2403439714329212, ""num_layers"": 1, ""weight_decay"": 0.011448774320997597}"
