algorithm,mean_final_best_error,std_final_best_error,mean_total_cost,std_total_cost,n_instances
DEHB-style,-88.68738214829389,10.997881124186183,217640.07236191002,319983.6897927526,34
HAT,-84.10807858635398,13.776857204181509,134018.08819695213,189199.596423956,34
ASHA,-81.96787623798146,15.298490854413176,12048.952333533369,15405.18379763393,34
Random Search,-47.361945805654805,25.293154338138766,1945.9187279037694,1400.1856149899313,34
