algorithm,mean_auc_log_cost_before,mean_auc_log_cost_after,delta_mean_auc_log_cost
HAT,0.1679711859173671,0.0983746222821015,-0.0695965636352655
Hyperband,0.1355090178695243,0.0981716114631694,-0.0373374064063549
TPE,0.1359561787638558,0.0988292601797813,-0.0371269185840744
SHA,0.1338012227406765,0.0979565452889619,-0.0358446774517145
