algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,167184,2,1,1,1.0,-46.3247184753418,5.082987308502197,5.082987308502197,-46.3247184753418,"{""OpenML_task_id"": ""167184"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167184,2,1,2,3.0,-46.50459671020508,14.968389511108398,20.051376819610596,-46.50459671020508,"{""OpenML_task_id"": ""167184"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167184,2,1,3,9.0,-45.030216217041016,31.830326080322266,51.88170289993286,-46.50459671020508,"{""OpenML_task_id"": ""167184"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167184,2,1,4,27.0,-44.42510223388672,61.70685958862305,113.58856248855591,-46.50459671020508,"{""OpenML_task_id"": ""167184"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167184,2,1,5,52.0,-44.51816177368164,111.42391967773438,225.01248216629028,-46.50459671020508,"{""OpenML_task_id"": ""167184"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167184,2,2,1,1.0,-47.80434036254883,9.16878604888916,234.18126821517944,-47.80434036254883,"{""OpenML_task_id"": ""167184"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,167184,2,2,2,3.0,-49.030364990234375,25.443653106689453,259.6249213218689,-49.030364990234375,"{""OpenML_task_id"": ""167184"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,167184,2,2,3,9.0,-48.146793365478516,53.63705825805664,313.26197957992554,-49.030364990234375,"{""OpenML_task_id"": ""167184"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,167184,2,2,4,27.0,-46.288265228271484,109.57206726074219,422.8340468406677,-49.030364990234375,"{""OpenML_task_id"": ""167184"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,167184,2,2,5,52.0,-47.13924789428711,189.0485076904297,611.8825545310974,-49.030364990234375,"{""OpenML_task_id"": ""167184"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,167184,2,3,1,1.0,-47.315956115722656,8.643071174621582,620.525625705719,-49.030364990234375,"{""OpenML_task_id"": ""167184"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
