algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
asha,lcbench,167152,2,1,1,1.0,-8.915449142456055,5.8527350425720215,5.8527350425720215,-8.915449142456055,"{""OpenML_task_id"": ""167152"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167152,2,1,2,3.0,-8.728471755981445,18.67768096923828,24.530416011810303,-8.915449142456055,"{""OpenML_task_id"": ""167152"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167152,2,1,3,9.0,-8.983595848083496,47.018898010253906,71.54931402206421,-8.983595848083496,"{""OpenML_task_id"": ""167152"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167152,2,1,4,27.0,-10.964376449584961,98.0634994506836,169.6128134727478,-10.964376449584961,"{""OpenML_task_id"": ""167152"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167152,2,1,5,52.0,-12.59073543548584,167.3756561279297,336.9884696006775,-12.59073543548584,"{""OpenML_task_id"": ""167152"", ""batch_size"": 73, ""learning_rate"": 0.00011961308606153212, ""max_dropout"": 0.5496624778787091, ""max_units"": 214, ""momentum"": 0.47412734385786526, ""num_layers"": 3, ""weight_decay"": 0.01545112304220212}"
asha,lcbench,167152,2,2,1,1.0,-8.182175636291504,7.008751392364502,343.997220993042,-12.59073543548584,"{""OpenML_task_id"": ""167152"", ""batch_size"": 180, ""learning_rate"": 0.00022900851352427118, ""max_dropout"": 0.485175909599865, ""max_units"": 370, ""momentum"": 0.8282217820058498, ""num_layers"": 4, ""weight_decay"": 0.049861131393631374}"
asha,lcbench,167152,2,3,1,1.0,-7.264009475708008,7.13146448135376,351.12868547439575,-12.59073543548584,"{""OpenML_task_id"": ""167152"", ""batch_size"": 122, ""learning_rate"": 0.014429879255368998, ""max_dropout"": 0.2584980864373988, ""max_units"": 291, ""momentum"": 0.46250397073805116, ""num_layers"": 4, ""weight_decay"": 0.007973751246136009}"
asha,lcbench,167152,2,4,1,1.0,-11.591282844543457,3.4626126289367676,354.5912981033325,-12.59073543548584,"{""OpenML_task_id"": ""167152"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,167152,2,4,2,3.0,-10.609328269958496,10.758482933044434,365.34978103637695,-12.59073543548584,"{""OpenML_task_id"": ""167152"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
asha,lcbench,167152,2,4,3,9.0,-10.926804542541504,22.950340270996094,388.30012130737305,-12.59073543548584,"{""OpenML_task_id"": ""167152"", ""batch_size"": 92, ""learning_rate"": 0.0001569854900969737, ""max_dropout"": 0.42812232759738944, ""max_units"": 84, ""momentum"": 0.21317237481413695, ""num_layers"": 5, ""weight_decay"": 0.022608939940417547}"
