algorithm,scenario,instance,seed,trial_id,rung,fidelity,validation_error,simulated_cost,cumulative_cost,best_validation_error,config_json
bohb,lcbench,167200,3,1,1,1.0,-49.147491455078125,4.748314380645752,4.748314380645752,-49.147491455078125,"{""OpenML_task_id"": ""167200"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
bohb,lcbench,167200,3,1,2,3.0,-64.82930755615234,12.38582992553711,17.13414430618286,-64.82930755615234,"{""OpenML_task_id"": ""167200"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
bohb,lcbench,167200,3,1,3,9.0,-64.78750610351562,38.78036880493164,55.9145131111145,-64.82930755615234,"{""OpenML_task_id"": ""167200"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
bohb,lcbench,167200,3,1,4,27.0,-66.1876220703125,110.78804016113281,166.70255327224731,-66.1876220703125,"{""OpenML_task_id"": ""167200"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
bohb,lcbench,167200,3,1,5,52.0,-68.70022583007812,173.3258514404297,340.028404712677,-68.70022583007812,"{""OpenML_task_id"": ""167200"", ""batch_size"": 108, ""learning_rate"": 0.013318136687429968, ""max_dropout"": 0.2909047389129443, ""max_units"": 264, ""momentum"": 0.8947227893694126, ""num_layers"": 3, ""weight_decay"": 0.0018846133849566762}"
bohb,lcbench,167200,3,2,1,1.0,-48.37059020996094,4.578188896179199,344.6065936088562,-68.70022583007812,"{""OpenML_task_id"": ""167200"", ""batch_size"": 18, ""learning_rate"": 0.000554197920268787, ""max_dropout"": 0.09355149746544533, ""max_units"": 439, ""momentum"": 0.22937942822710844, ""num_layers"": 1, ""weight_decay"": 0.02156554507140773}"
bohb,lcbench,167200,3,3,1,1.0,-51.118690490722656,4.610261917114258,349.21685552597046,-68.70022583007812,"{""OpenML_task_id"": ""167200"", ""batch_size"": 55, ""learning_rate"": 0.0030054380132902175, ""max_dropout"": 0.9133014457224449, ""max_units"": 535, ""momentum"": 0.966546957572808, ""num_layers"": 1, ""weight_decay"": 0.04151596868903687}"
bohb,lcbench,167200,3,3,2,3.0,-60.66282272338867,17.02523422241211,366.24208974838257,-68.70022583007812,"{""OpenML_task_id"": ""167200"", ""batch_size"": 55, ""learning_rate"": 0.0030054380132902175, ""max_dropout"": 0.9133014457224449, ""max_units"": 535, ""momentum"": 0.966546957572808, ""num_layers"": 1, ""weight_decay"": 0.04151596868903687}"
bohb,lcbench,167200,3,4,1,1.0,-49.484153747558594,4.176581382751465,370.41867113113403,-68.70022583007812,"{""OpenML_task_id"": ""167200"", ""batch_size"": 43, ""learning_rate"": 0.012006426178129779, ""max_dropout"": 0.4404537176707395, ""max_units"": 99, ""momentum"": 0.5847376260483418, ""num_layers"": 1, ""weight_decay"": 0.030643289602294215}"
bohb,lcbench,167200,3,4,2,3.0,-60.8713493347168,14.703439712524414,385.12211084365845,-68.70022583007812,"{""OpenML_task_id"": ""167200"", ""batch_size"": 43, ""learning_rate"": 0.012006426178129779, ""max_dropout"": 0.4404537176707395, ""max_units"": 99, ""momentum"": 0.5847376260483418, ""num_layers"": 1, ""weight_decay"": 0.030643289602294215}"
