algorithm,mean_final_error_before,mean_final_error_after,delta_mean_final_error
hyperband,0.0561981877771351,0.0,-0.0561981877771351
sha,0.0547715442452284,0.0,-0.0547715442452284
tpe,0.0545498361287834,0.0,-0.0545498361287834
hagfish,0.0510410641989588,0.0,-0.0510410641989588
