algorithm,mean_auc_log_cost_before,mean_auc_log_cost_after,delta_mean_auc_log_cost
hagfish,0.1679711859173671,0.0983746222821015,-0.06959656363526559
hyperband,0.1355090178695243,0.0981716114631694,-0.0373374064063549
tpe,0.1359561787638558,0.0988292601797813,-0.03712691858407449
sha,0.1338012227406765,0.0979565452889619,-0.03584467745171459
