alpha,mean_final_best_error,std_final_best_error,mean_total_cost,std_total_cost,mean_runtime_seconds,mean_objective_evaluations,mean_max_fidelity,mean_burst_events,n_runs
0.0,-75.80085975646972,25.328081960726223,62953.3081841886,70102.1996206635,0.12133084001019596,237.44,24.563333333333336,44.56,25
0.0001,-75.80085975646972,25.328081960726223,62953.3081841886,70102.1996206635,0.3033689679857343,237.44,24.563333333333336,44.56,25
0.001,-75.80085975646972,25.328081960726223,62953.3081841886,70102.1996206635,0.29595231600105765,237.44,24.563333333333336,44.56,25
0.01,-75.46113113403321,25.9162083038079,53418.28649353385,57849.54838861542,0.29159463598392904,234.76,23.016666666666666,43.48,25
