metric,comparison,n_pairs,wilcoxon_statistic,p_value,median_hat_minus_baseline,rank_biserial_hat_minus_baseline,holm_p_value,significant_0_05
final_best_error,HAT vs DEHB,340,2729.0,1.7219176544162796e-47,2.707035064697269,0.9058478523374159,5.165752963248838e-47,True
final_best_error,HAT vs ASHA,340,27.0,5.678085985147103e-22,0.0,0.9931428571428571,1.1356171970294207e-21,True
final_best_error,HAT vs BOHB,340,27.0,5.678085985147103e-22,0.0,0.9931428571428571,1.1356171970294207e-21,True
total_cost,HAT vs DEHB,340,9293.0,1.8495050817561054e-27,-21999.971130371086,-0.679385889253062,1.8495050817561054e-27,True
total_cost,HAT vs ASHA,340,0.0,1.7490812062058477e-57,-14408.407971382141,-1.0,5.247243618617543e-57,True
total_cost,HAT vs BOHB,340,0.0,1.7490812062058477e-57,-14408.407971382141,-1.0,5.247243618617543e-57,True
